flight_date,ship_name,flight_success_rate,link_to_youtube
2006-03-24T22:30:00.000Z,FalconSat,false,https://www.youtube.com/watch?v=0a_00nJ_Y88
2007-03-21T01:10:00.000Z,DemoSat,false,https://www.youtube.com/watch?v=Lk4zQ2wP-Nc
2008-08-03T03:34:00.000Z,Trailblazer,false,https://www.youtube.com/watch?v=v0w9p3U8860
2008-09-28T23:15:00.000Z,RatSat,true,https://www.youtube.com/watch?v=dLQ2tZEH6G0
2009-07-13T03:35:00.000Z,RazakSat,true,https://www.youtube.com/watch?v=yTaIDooc8Og
2010-06-04T18:45:00.000Z,Falcon 9 Test Flight,true,https://www.youtube.com/watch?v=nxSxgBKlYws
2010-12-08T15:43:00.000Z,COTS 1,true,https://www.youtube.com/watch?v=cdLITgWKe_0
2012-05-22T07:44:00.000Z,COTS 2,true,https://www.youtube.com/watch?v=tpQzDbAY7yI
2012-10-08T00:35:00.000Z,CRS-1,true,https://www.youtube.com/watch?v=-Vk3hiV_zXU
2013-03-01T19:10:00.000Z,CRS-2,true,https://www.youtube.com/watch?v=ik0ElKl5kW4
2013-09-29T16:00:00.000Z,CASSIOPE,true,https://www.youtube.com/watch?v=uFefasS6bhc
2013-12-03T22:41:00.000Z,SES-8,true,https://www.youtube.com/watch?v=aAj5xapImEs
2014-01-06T18:06:00.000Z,Thaicom 6,true,https://www.youtube.com/watch?v=AnSNRzMEmCU
2014-04-18T19:25:00.000Z,CRS-3,true,https://www.youtube.com/watch?v=Od-lON4bTyQ
2014-07-14T15:15:00.000Z,OG-2 Mission 1,true,https://www.youtube.com/watch?v=lbHnSu-DLR4
2014-08-05T08:00:00.000Z,AsiaSat 8,true,https://www.youtube.com/watch?v=essrkMGlw5s
2014-09-07T05:00:00.000Z,AsiaSat 6,true,https://www.youtube.com/watch?v=39ninsyTRk8
2014-09-21T05:52:00.000Z,CRS-4,true,https://www.youtube.com/watch?v=7YkCh7uOw1Y
2015-01-10T09:47:00.000Z,CRS-5,true,https://www.youtube.com/watch?v=p7x-SumbynI
2015-02-11T23:03:00.000Z,DSCOVR,true,https://www.youtube.com/watch?v=OvHJSIKP0Hg
2015-03-02T03:50:00.000Z,ABS-3A / Eutelsat 115W B,true,https://www.youtube.com/watch?v=mN7lyaCBzT8
2015-04-14T20:10:00.000Z,CRS-6,true,https://www.youtube.com/watch?v=csVpa25iqH0
